employee_id,person_id,employee_number,department,position,employment_type,hire_date,salary_start_date,termination_date,status
EMP001,PER001,,,南京大学,南京大学,,2022-06-01,,在职
EMP002,PER002,,,南京大学,南京大学,,2022-09-01,,在职
EMP003,PER003,,,南京大学,南京大学,,2023-02-01,,在职
EMP004,PER004,,,南京大学,南京大学,,2023-03-01,,在职
EMP005,PER005,,,南京大学,南京大学,,2023-11-01,,在职
EMP006,PER006,,,南京大学,南京大学,,2025-01-01,,在职
EMP007,PER007,,,南京大学,南京大学,,2025-01-01,,在职
EMP008,PER008,,,南京大学,南京大学,,2025-06-01,,在职
EMP009,PER009,,,南京大学,南京大学,,2025-06-01,,在职
EMP010,PER010,,,南京大学,南京大学,,2025-08-01,,在职
EMP011,PER011,,,南京大学,南京大学,,2025-09-01,,在职
EMP012,PER012,,,南京大学,南京大学,,2026-01-01,,在职
EMP013,PER013,,,南京大学,南京大学,,2026-02-01,,在职
EMP014,PER014,,,BOSS,BOSS,,2022-06-01,,在职
EMP015,PER015,,,BOSS,BOSS,,2024-08-08,,在职
EMP016,PER016,,,员工,员工,,2022-06-01,,在职
EMP017,PER017,,,部门负责人,部门负责人,,2022-06-01,,在职
EMP018,PER018,,,员工,员工,,2022-06-01,,在职
EMP019,PER019,,,员工,员工,,2022-06-01,,在职
EMP020,PER020,,,员工,员工,,2022-06-01,,在职
EMP021,PER021,,,员工,员工,,2022-06-01,,在职
EMP022,PER022,,,部门负责人,部门负责人,,2022-06-01,,在职
EMP023,PER023,,,部门负责人,部门负责人,,2022-06-20,,在职
EMP024,PER024,,,员工,员工,,2022-07-01,,在职
EMP025,PER025,,,部门负责人,部门负责人,,2022-07-04,,在职
EMP026,PER026,,,员工,员工,,2022-07-07,,在职
EMP027,PER027,,,员工,员工,,2022-08-01,,在职
EMP028,PER028,,,员工,员工,,2022-08-01,,在职
EMP029,PER029,,,员工,员工,,2022-08-01,,在职
EMP030,PER030,,,部门负责人,部门负责人,,2022-08-01,,在职
EMP031,PER031,,,员工,员工,,2022-08-08,,在职
EMP032,PER032,,,员工,员工,,2022-08-15,,在职
EMP033,PER033,,,员工,员工,,2023-05-01,,在职
EMP034,PER034,,,员工,员工,,2022-09-01,,在职
EMP035,PER035,,,员工,员工,,2022-09-01,,在职
EMP036,PER036,,,员工,员工,,2022-09-07,,在职
EMP037,PER037,,,员工,员工,,2022-09-13,,在职
EMP038,PER038,,,员工,员工,,2022-09-19,,在职
EMP039,PER039,,,员工,员工,,2022-09-19,,在职
EMP040,PER040,,,员工,员工,,2022-10-01,,在职
EMP041,PER041,,,部门负责人,部门负责人,,2022-10-24,,在职
EMP042,PER042,,,员工,员工,,2022-11-01,,在职
EMP043,PER043,,,员工,员工,,2022-11-03,,在职
EMP044,PER044,,,员工,员工,,2022-11-16,,在职
EMP045,PER045,,,员工,员工,,2023-02-13,,在职
EMP046,PER046,,,员工,员工,,2023-02-20,,在职
EMP047,PER047,,,员工,员工,,2023-04-03,,在职
EMP048,PER048,,,员工,员工,,2023-05-04,,在职
EMP049,PER049,,,员工,员工,,2023-05-19,,在职
EMP050,PER050,,,员工,员工,,2023-06-01,,在职
EMP051,PER051,,,员工,员工,,2023-06-01,,在职
EMP052,PER052,,,员工,员工,,2023-06-01,,在职
EMP053,PER053,,,员工,员工,,2023-06-01,,在职
EMP054,PER054,,,员工,员工,,2023-07-03,,在职
EMP055,PER055,,,员工,员工,,2023-07-03,,在职
EMP056,PER056,,,员工,员工,,2023-07-03,,在职
EMP057,PER057,,,员工,员工,,2023-07-03,,在职
EMP058,PER058,,,员工,员工,,2023-07-10,,在职
EMP059,PER059,,,部门负责人,部门负责人,,2023-07-22,,在职
EMP060,PER060,,,员工,员工,,2023-07-28,,在职
EMP061,PER061,,,员工,员工,,2023-08-21,,在职
EMP062,PER062,,,员工,员工,,2023-08-23,,在职
EMP063,PER063,,,员工,员工,,2023-08-28,,在职
EMP064,PER064,,,员工,员工,,2023-09-11,,在职
EMP065,PER065,,,员工,员工,,2023-09-18,,在职
EMP066,PER066,,,员工,员工,,2023-11-27,,在职
EMP067,PER067,,,员工,员工,,2023-11-27,,在职
EMP068,PER068,,,员工,员工,,2023-11-28,,在职
EMP069,PER069,,,员工,员工,,2023-12-01,,在职
EMP070,PER070,,,员工,员工,,2023-12-13,,在职
EMP071,PER071,,,员工,员工,,2023-12-25,,在职
EMP072,PER072,,,员工,员工,,2023-12-25,,在职
EMP073,PER073,,,员工,员工,,2024-03-04,,在职
EMP074,PER074,,,员工,员工,,2024-03-25,,在职
EMP075,PER075,,,员工,员工,,2024-03-25,,在职
EMP076,PER076,,,员工,员工,,2024-04-01,,在职
EMP077,PER077,,,员工,员工,,2024-04-01,,在职
EMP078,PER078,,,员工,员工,,2024-04-01,,在职
EMP079,PER079,,,员工,员工,,2024-04-28,,在职
EMP080,PER080,,,员工,员工,,2024-05-13,,在职
EMP081,PER081,,,员工,员工,,2024-05-13,,在职
EMP082,PER082,,,员工,员工,,2024-07-01,,在职
EMP083,PER083,,,员工,员工,,2024-07-01,,在职
EMP084,PER084,,,员工,员工,,2024-07-01,,在职
EMP085,PER085,,,员工,员工,,2024-07-08,,在职
EMP086,PER086,,,员工,员工,,2024-07-10,,在职
EMP087,PER087,,,员工,员工,,2024-08-14,,在职
EMP088,PER088,,,员工,员工,,2024-08-20,,在职
EMP089,PER089,,,员工,员工,,2024-09-02,,在职
EMP090,PER090,,,员工,员工,,2024-09-02,,在职
EMP091,PER091,,,员工,员工,,2024-09-19,,在职
EMP092,PER092,,,员工,员工,,2024-10-14,,在职
EMP093,PER093,,,员工,员工,,2024-11-01,,在职
EMP094,PER094,,,员工,员工,,2024-11-04,,在职
EMP095,PER095,,,员工,员工,,2024-11-11,,在职
EMP096,PER096,,,员工,员工,,2024-11-11,,在职
EMP097,PER097,,,员工,员工,,2024-12-02,,在职
EMP098,PER098,,,员工,员工,,2024-12-03,,在职
EMP099,PER099,,,员工,员工,,2024-12-16,,在职
EMP100,PER100,,,员工,员工,,2025-01-02,,在职
EMP101,PER101,,,部门负责人,部门负责人,,2025-01-06,,在职
EMP102,PER102,,,员工,员工,,2025-01-09,,在职
EMP103,PER103,,,员工,员工,,2025-03-10,,在职
EMP104,PER104,,,员工,员工,,2025-03-10,,在职
EMP105,PER105,,,员工,员工,,2025/3/17,,在职
EMP106,PER106,,,员工,员工,,2025-03-19,,在职
EMP107,PER107,,,员工,员工,,2025-03-19,,在职
EMP108,PER108,,,员工,员工,,2025-03-19,,在职
EMP109,PER109,,,员工,员工,,2025-04-01,,在职
EMP110,PER110,,,员工,员工,,2025-04-27,,在职
EMP111,PER111,,,员工,员工,,2025-05-06,,在职
EMP112,PER112,,,员工,员工,,2025-05-06,,在职
EMP113,PER113,,,员工,员工,,2025-05-07,,在职
EMP114,PER114,,,员工,员工,,2025-05-12,,在职
EMP115,PER115,,,员工,员工,,2025-05-20,,在职
EMP116,PER116,,,员工,员工,,2025-05-21,,在职
EMP117,PER117,,,员工,员工,,2025-05-22,,在职
EMP118,PER118,,,员工,员工,,2025-06-03,,在职
EMP119,PER119,,,员工,员工,,2025-06-16,,在职
EMP120,PER120,,,员工,员工,,2025-06-16,,在职
EMP121,PER121,,,员工,员工,,2025-06-16,,在职
EMP122,PER122,,,员工,员工,,2025-06-20,,在职
EMP123,PER123,,,员工,员工,,2025-06-20,,在职
EMP124,PER124,,,员工,员工,,2025-06-23,,在职
EMP125,PER125,,,员工,员工,,2025-07-01,,在职
EMP126,PER126,,,员工,员工,,2025-07-08,,在职
EMP127,PER127,,,员工,员工,,2025-07-08,,在职
EMP128,PER128,,,员工,员工,,2025-08-01,,在职
EMP129,PER129,,,员工,员工,,2025-08-04,,在职
EMP130,PER130,,,员工,员工,,2025-08-05,,在职
EMP131,PER131,,,员工,员工,,2025-08-11,,在职
EMP132,PER132,,,员工,员工,,2025-08-12,,在职
EMP133,PER133,,,员工,员工,,2025-08-13,,在职
EMP134,PER134,,,员工,员工,,2025-08-13,,在职
EMP135,PER135,,,员工,员工,,2025-08-15,,在职
EMP136,PER136,,,员工,员工,,2025-08-18,,在职
EMP137,PER137,,,员工,员工,,2025-08-20,,在职
EMP138,PER138,,,员工,员工,,2025-08-25,,在职
EMP139,PER139,,,员工,员工,,2025-09-01,,在职
EMP140,PER140,,,员工,员工,,2025-09-01,,在职
EMP141,PER141,,,员工,员工,,2025-09-01,,在职
EMP142,PER142,,,员工,员工,,2025-09-10,,在职
EMP143,PER143,,,员工,员工,,2025-09-18,,在职
EMP144,PER144,,,员工,员工,,2025-10-09,,在职
EMP145,PER145,,,员工,员工,,2025-12-01,,在职
EMP146,PER146,,,员工,员工,,2025-12-18,,在职
EMP147,PER147,,,员工,员工,,2025-12-22,,在职
EMP148,PER148,,,实习生,实习生,,2025-12-29,,在职
EMP149,PER149,,,实习生,实习生,,2025-12-30,,在职
EMP150,PER150,,,员工,员工,,2026-01-08,,在职
EMP151,PER151,,,员工,员工,,2026-01-12,,在职
EMP152,PER152,,,员工,员工,,2026-02-01,,在职
EMP153,PER153,,,员工,员工,,2026-02-01,,在职
EMP154,PER154,,,员工,员工,,2026-02-01,,在职
EMP155,PER155,,,员工,员工,,2026-02-01,,在职
EMP156,PER156,,,员工,员工,,2026-02-01,,在职
EMP157,PER157,,,员工,员工,,2026-02-01,,在职
EMP158,PER158,,,员工,员工,,2026-02-01,,在职
EMP159,PER159,,,员工,员工,,2026-02-01,,在职
EMP160,PER160,,,员工,员工,,2026-02-01,,在职
EMP161,PER161,,,员工,员工,,2026-02-01,,在职
EMP162,PER162,,,员工,员工,,2026-02-01,,在职
EMP163,PER163,,,员工,员工,,2026-02-02,,在职
EMP164,PER164,,,员工,员工,,2026-02-02,,在职
EMP165,PER165,,,员工,员工,,2026-03-04,,在职
EMP166,PER166,,,员工,员工,,2026-03-04,,在职
EMP167,PER167,,,实习生,实习生,,2026-03-09,,在职
EMP168,PER168,,,员工,员工,,2026-03-09,,在职
EMP169,PER169,,,员工,员工,,2026-03-09,,在职
EMP170,PER170,,,员工,员工,,2026-03-16,,在职
EMP171,PER171,,,实习生,实习生,,2026-03-16,,在职
EMP172,PER172,,,员工,员工,,2026-03-23,,在职
EMP173,PER173,,,员工,员工,,2026-03-23,,在职
EMP174,PER174,,,员工,员工,,2026-03-23,,在职
EMP175,PER175,,,员工,员工,,2026-03-26,,在职
EMP176,PER176,,,员工,员工,,2026-04-01,,在职
EMP177,PER177,,,员工,员工,,2026-04-01,,在职
EMP178,PER178,,,人力劳务,人力劳务,,2026-04-01,,在职
EMP179,PER179,,,人力劳务,人力劳务,,2026-04-01,,在职
EMP180,PER180,,,人力劳务,人力劳务,,2026-04-01,,在职
EMP181,PER181,,,员工,员工,,2026-04-07,,在职
EMP182,PER182,,,BOSS,BOSS,,2026-04-07,,在职
EMP183,PER183,,,员工,员工,,2026-04-13,,在职
EMP184,PER184,,,员工,员工,,2026-04-13,,在职
EMP185,PER185,,,员工,员工,,2026-04-15,,在职
EMP186,PER186,,,员工,员工,,2026-04-20,,在职
EMP187,PER187,,,员工,员工,,2026-04-23,,在职
EMP188,PER188,,,BOSS,BOSS,,2026-04-01,,在职
